Package name,Dataset,File path,Risk level (high/critical),Languages
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/extend/os/mac/keg.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/missing_formula.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/test/cask/macos_spec.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/test/support/fixtures/elf/hello,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/test/utils/shell_spec.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/utils/pypi.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/Library/Homebrew/vendor/bundle/ruby/3.3.0/gems/elftools-1.3.1/lib/elftools/constants.rb,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/package/scripts/postinstall,HIGH,Ruby
brew,upstream-repos,/tmp/brew.zip478139301/package/scripts/preinstall,HIGH,Ruby
fluent-plugin-detect-exceptions,upstream-repos,/tmp/fluent-plugin-detect-exceptions.zip2320862704/test/plugin/test_exception_detector.rb,HIGH,Ruby
fluent-plugin-elasticsearch,upstream-repos,/tmp/fluent-plugin-elasticsearch.zip1966292570/test/plugin/test_out_elasticsearch.rb,HIGH,Ruby
fluent-plugin-elasticsearch,upstream-repos,/tmp/fluent-plugin-elasticsearch.zip1966292570/test/plugin/test_out_elasticsearch_dynamic.rb,HIGH,Ruby
fzf,upstream-repos,/tmp/fzf.zip3177323504/src/algo/normalize.go,HIGH,Ruby
fzf,upstream-repos,/tmp/fzf.zip3177323504/test/test_go.rb,CRITICAL,Ruby
pgcat,upstream-repos,/tmp/pgcat.zip319848171/.circleci/run_tests.sh,HIGH,Ruby
pgcat,upstream-repos,/tmp/pgcat.zip319848171/start_test_env.sh,HIGH,Ruby
pgcat,upstream-repos,/tmp/pgcat.zip319848171/tests/ruby/helpers/pg_socket.rb,HIGH,Ruby
ruby3.0-bundler,upstream-repos,/tmp/ruby3.0-bundler.zip1106050149/bundler/lib/bundler/vendor/net-http-persistent/lib/net/http/persistent.rb,HIGH,Ruby
ruby3.0-bundler,upstream-repos,/tmp/ruby3.0-bundler.zip1106050149/bundler/spec/realworld/slow_perf_spec.rb,HIGH,Ruby
ruby3.0-bundler,upstream-repos,/tmp/ruby3.0-bundler.zip1106050149/test/rubygems/test_gem_config_file.rb,HIGH,Ruby
ruby3.0-bundler,upstream-repos,/tmp/ruby3.0-bundler.zip1106050149/test/rubygems/test_gem_requirement.rb,HIGH,Ruby
ruby3.1-bundler,upstream-repos,/tmp/ruby3.1-bundler.zip1177926412/bundler/lib/bundler/vendor/net-http-persistent/lib/net/http/persistent.rb,HIGH,Ruby
ruby3.1-bundler,upstream-repos,/tmp/ruby3.1-bundler.zip1177926412/bundler/spec/realworld/slow_perf_spec.rb,HIGH,Ruby
ruby3.1-bundler,upstream-repos,/tmp/ruby3.1-bundler.zip1177926412/test/rubygems/test_gem_config_file.rb,HIGH,Ruby
ruby3.1-bundler,upstream-repos,/tmp/ruby3.1-bundler.zip1177926412/test/rubygems/test_gem_requirement.rb,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actionpack/test/dispatch/mime_type_test.rb,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actionpack/test/dispatch/url_generation_test.rb,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actionpack/test/fixtures/public/gzip/application-a71b3024f80aea3181c09774ca17e712.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actionpack/test/fixtures/公共/gzip/application-a71b3024f80aea3181c09774ca17e712.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actiontext/app/assets/javascripts/actiontext.esm.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actiontext/app/assets/javascripts/actiontext.js,HIGH,Ruby
ruby3.2-activemodel,upstream-repos,/tmp/ruby3.2-activemodel.zip3778614966/actiontext/app/assets/javascripts/trix.js,HIGH,Ruby
