Package name,Dataset,File path,Risk level (high/critical),Languages
aws-c-http,upstream-repos,/tmp/aws-c-http.zip850576768/tests/test_websocket_decoder.c,HIGH,C
aws-c-http,upstream-repos,/tmp/aws-c-http.zip850576768/tests/test_websocket_encoder.c,HIGH,C
aws-c-io,upstream-repos,/tmp/aws-c-io.zip3296255778/source/darwin/darwin_pki_utils.c,HIGH,C
aws-c-io,upstream-repos,/tmp/aws-c-io.zip3296255778/source/pkcs11/v2.40/pkcs11.h,HIGH,C
aws-c-io,upstream-repos,/tmp/aws-c-io.zip3296255778/source/pkcs11_lib.c,HIGH,C
aws-c-io,upstream-repos,/tmp/aws-c-io.zip3296255778/tests/pem_test.c,HIGH,C
aws-c-io,upstream-repos,/tmp/aws-c-io.zip3296255778/tests/pkcs11_test.c,HIGH,C
aws-c-s3,upstream-repos,/tmp/aws-c-s3.zip3870757550/.builder/actions/mock_server_setup.py,HIGH,C
aws-c-s3,upstream-repos,/tmp/aws-c-s3.zip3870757550/tests/s3_checksums_sha1_tests.c,HIGH,C
aws-c-s3,upstream-repos,/tmp/aws-c-s3.zip3870757550/tests/s3_checksums_sha256_tests.c,HIGH,C
aws-c-sdkutils,upstream-repos,/tmp/aws-c-sdkutils.zip1380154760/tests/aws_profile_tests.c,HIGH,C
aws-checksums,upstream-repos,/tmp/aws-checksums.zip1064443062/source/crc64.c,HIGH,C
aws-checksums,upstream-repos,/tmp/aws-checksums.zip1064443062/source/crc64_sw.c,HIGH,C
aws-checksums,upstream-repos,/tmp/aws-checksums.zip1064443062/source/crc_sw.c,HIGH,C
aws-checksums,upstream-repos,/tmp/aws-checksums.zip1064443062/source/intel/intrin/crc32c_sse42_avx512.c,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/OpenCL/CL/cl.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/OpenCL/CL/cl_ext.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/OpenCL/CL/cl_half.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/3rdparty/android_astc_decomp.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/3rdparty/tinydds.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/basisu_enc.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/basisu_etc.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/basisu_gpu_texture.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/basisu_miniz.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/basisu_ocl_kernels.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/encoder/jpgd.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/transcoder/basisu_astc_helpers.h,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/transcoder/basisu_transcoder.cpp,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/webgl/encoder/build/basis_encoder.js,CRITICAL,C
basisu,upstream-repos,/tmp/basisu.zip492154789/webgl/gltf/three.min.js,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/webgl/transcoder/build/basis_transcoder.js,HIGH,C
basisu,upstream-repos,/tmp/basisu.zip492154789/zstd/zstddeclib.c,HIGH,C
blosc,upstream-repos,/tmp/blosc.zip3942768742/blosc/shuffle-avx2.c,HIGH,C
blosc,upstream-repos,/tmp/blosc.zip3942768742/internal-complibs/zlib-1.3.1/crc32.h,HIGH,C
blosc,upstream-repos,/tmp/blosc.zip3942768742/internal-complibs/zstd-1.5.6/common/xxhash.h,HIGH,C
blosc,upstream-repos,/tmp/blosc.zip3942768742/internal-complibs/zstd-1.5.6/compress/zstd_ldm_geartab.h,HIGH,C
blosc,upstream-repos,/tmp/blosc.zip3942768742/internal-complibs/zstd-1.5.6/legacy/zstd_v07.c,HIGH,C
bpftool,upstream-repos,/tmp/bpftool.zip2591517191/include/uapi/linux/bpf.h,HIGH,C
bpftool,upstream-repos,/tmp/bpftool.zip2591517191/include/uapi/linux/netlink.h,HIGH,C
bpftool,upstream-repos,/tmp/bpftool.zip2591517191/include/uapi/linux/perf_event.h,HIGH,C
bpftool,upstream-repos,/tmp/bpftool.zip2591517191/src/perf.c,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/common/transform.c,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/dec/huffman.c,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/dec/prefix.h,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/enc/compress_fragment_two_pass.c,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/enc/encode.c,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/c/enc/entropy_encode_static.h,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/java/org/brotli/dec/Decode.java,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/java/org/brotli/dec/DictionaryData.java,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/java/org/brotli/dec/SynthTest.java,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/java/org/brotli/dec/kt/Decode.kt,CRITICAL,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode.js,CRITICAL,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode.min.js,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode.ts,CRITICAL,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode_synth_test.js,CRITICAL,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode_synth_test.ts,CRITICAL,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode_test.js,HIGH,C
brotli,upstream-repos,/tmp/brotli.zip3945759654/js/decode_test.ts,HIGH,C
bzip3,upstream-repos,/tmp/bzip3.zip3476676407/src/libbz3.c,HIGH,C
c-ares,upstream-repos,/tmp/c-ares.zip2552592194/ci/test.sh,HIGH,C
c-ares,upstream-repos,/tmp/c-ares.zip2552592194/include/ares.h,HIGH,C
c-ares,upstream-repos,/tmp/c-ares.zip2552592194/src/lib/str/ares_str.c,HIGH,C
cjson,upstream-repos,/tmp/cjson.zip2055492208/tests/unity/test/tests/testunity.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/compel/arch/aarch64/src/lib/infect.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/compel/arch/s390/src/lib/infect.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/compel/arch/x86/src/lib/infect.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/compel/src/lib/infect.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/compel/src/lib/ptrace.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/action-scripts.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/arch/s390/crtools.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/autofs.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/cr-check.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/cr-service.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/file-lock.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/files.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/include/magic.h,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/kerndat.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/mount.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/pages-compress.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/seize.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/criu/shmem.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/plugins/amdgpu/amdgpu_plugin.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/plugins/amdgpu/tests/test_topology_remap.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/ci/asan.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/ci/podman-test.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/ci/prepare-for-fedora-rawhide.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/ci/run-ci-tests.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/ci/vagrant.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/scripts/install-criu-image-streamer.sh,CRITICAL,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/abrt.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/exhaustive/pipe.py,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/others/app-emu/job/job.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/others/pipes/pipe.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/others/socketpairs/socketpair.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/others/unix-callback/run.sh,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm.py,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/fd.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/file_locks03.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/file_locks04.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/inotify00.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/inotify01.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/memfd01.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/ofd_file_locks.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/s390x_regs_check.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux00.checkskip,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux00.hook,CRITICAL,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux01.checkskip,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux01.hook,CRITICAL,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux02.checkskip,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/selinux02.hook,CRITICAL,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp-local.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp-nfconntrack.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp4v6-local.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp4v6.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp6-local.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/socket-tcp6.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/static/unlink_multiple_largefiles.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/transition/socket-tcp.c,HIGH,C
crac-criu,upstream-repos,/tmp/crac-criu.zip3520104005/test/zdtm/transition/socket-tcp6.c,HIGH,C
cronie,upstream-repos,/tmp/cronie.zip1039319996/anacron/readtab.c,HIGH,C
dav1d,upstream-repos,/tmp/dav1d.zip3844816285/src/env.h,HIGH,C
dav1d,upstream-repos,/tmp/dav1d.zip3844816285/src/ppc/loopfilter_tmpl.c,HIGH,C
dav1d,upstream-repos,/tmp/dav1d.zip3844816285/src/tables.c,HIGH,C
dav1d,upstream-repos,/tmp/dav1d.zip3844816285/tools/output/md5.c,HIGH,C
dosfstools,upstream-repos,/tmp/dosfstools.zip3956811167/src/charconv.c,HIGH,C
dosfstools,upstream-repos,/tmp/dosfstools.zip3956811167/src/mkfs.fat.c,HIGH,C
file,upstream-repos,/tmp/file.zip1065849722/src/cdf.h,HIGH,C
file,upstream-repos,/tmp/file.zip1065849722/src/encoding.c,HIGH,C
file,upstream-repos,/tmp/file.zip1065849722/src/readelf.h,HIGH,C
gperftools,upstream-repos,/tmp/gperftools.zip2616854143/vendor/libbacktrace/config.guess,HIGH,C
gperftools,upstream-repos,/tmp/gperftools.zip2616854143/vendor/libbacktrace/dwarf.c,HIGH,C
gperftools,upstream-repos,/tmp/gperftools.zip2616854143/vendor/libbacktrace/elf.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/docker/debian/install-deps.sh,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/docker/fedora/install-deps.sh,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/docker/indent/prepare.sh,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/docker/lint/prepare.sh,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/docker/windows/prepare_gst_env.ps1,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/fluster/visl_references/test_suites/vp9/VP9-TEST-VECTORS.json,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/scripts/handle-subprojects-cache.py,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/ci/scripts/install-rust.sh,CRITICAL,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/scripts/git-hooks/pre-commit-python.hook,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/scripts/move_mrs_to_monorepo.py,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-devtools/validate/launcher/main.py,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-docs/symbols/symbol_index.json,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-examples/webrtc/sendrecv/gst-rust/Dockerfile,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-examples/webrtc/sendrecv/gst-sharp/nuget.py,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-integration-testsuites/testsuites/testvector.json,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/docs/plugins/gst_plugins_cache.json,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/closedcaption/ccutils.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/closedcaption/gstcea708decoder.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/closedcaption/io-sim.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/curl/gstcurlsshsink.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/resindvd/gstmpegdefs.h,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/resindvd/gstmpegdemux.c,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/resindvd/gstmpegdesc.h,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/sctp/usrsctp/usrsctplib/netinet/sctp.h,HIGH,C
gstreamer,upstream-repos,/tmp/gstreamer.zip3337811331/subprojects/gst-plugins-bad/ext/sctp/usrsctp/usrsctplib/netinet/sctp_cc_functions.c,HIGH,C
