Package,Dataset,#AVs,ALYac,APEX,AVG,Acronis,AhnLab-V3,Alibaba,Antiy-AVL,Arcabit,Avast,Avast-Mobile,Avira,Baidu,BitDefender,BitDefenderFalx,Bkav,CAT-QuickHeal,CMC,CTX,ClamAV,CrowdStrike,Cylance,Cynet,DeepInstinct,DrWeb,ESET-NOD32,Elastic,Emsisoft,F-Secure,FireEye,Fortinet,GData,Google,Gridinsoft,Ikarus,Jiangmin,K7AntiVirus,K7GW,Kaspersky,Kingsoft,Lionic,Malwarebytes,MaxSecure,McAfee,McAfeeD,MicroWorld-eScan,Microsoft,NANO-Antivirus,Paloalto,Panda,Rising,SUPERAntiSpyware,Sangfor,SentinelOne,Skyhigh,Sophos,Symantec,SymantecMobileInsight,TACHYON,Tencent,Trapmine,TrendMicro,TrendMicro-HouseCall,Trustlook,VBA32,VIPRE,Varist,ViRobot,VirIT,Webroot,Xcitium,Yandex,Zillya,ZoneAlarm,Zoner,alibabacloud,huorong,tehtris
atlas-client-3.0-r2,dataset2,77,malicious,type-unsupported,malicious,undetected,undetected,type-unsupported,malicious,undetected,malicious,type-unsupported,malicious,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,malicious,type-unsupported,undetected,malicious,type-unsupported,undetected,malicious,undetected,malicious,undetected,malicious,undetected,malicious,malicious,malicious,malicious,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,malicious,undetected,undetected,malicious,undetected,undetected,malicious,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
auto-localize-3.0-r2,dataset2,77,malicious,type-unsupported,malicious,undetected,undetected,type-unsupported,malicious,undetected,malicious,type-unsupported,malicious,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,malicious,type-unsupported,undetected,malicious,type-unsupported,undetected,malicious,undetected,malicious,undetected,malicious,undetected,malicious,malicious,malicious,malicious,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,malicious,undetected,undetected,undetected,undetected,undetected,malicious,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
beerdb-api-0.1.1-r2,dataset2,77,undetected,type-unsupported,malicious,undetected,undetected,type-unsupported,malicious,undetected,malicious,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,undetected,undetected,undetected,malicious,malicious,malicious,malicious,undetected,malicious,undetected,undetected,timeout,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,timeout,undetected,undetected,undetected,timeout,malicious,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,timeout,type-unsupported,undetected,undetected,malicious,malicious,undetected,undetected,undetected,undetected
indonesian-province-0.0.2-r2,dataset2,77,undetected,type-unsupported,malicious,undetected,undetected,type-unsupported,malicious,undetected,malicious,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,failure,undetected,type-unsupported,undetected,failure,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,malicious,malicious,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,malicious,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
moving-average-0.1.1-r2,dataset2,77,undetected,type-unsupported,malicious,undetected,undetected,type-unsupported,malicious,undetected,malicious,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,malicious,malicious,malicious,malicious,undetected,malicious,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,malicious,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,malicious,undetected,undetected,undetected,undetected
anansi,dataset5,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
anansi.apk,dataset5,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
anasi,dataset5,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
Backdoor.Linux.Rootin.b-4.5.1-r0,dataset5,77,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
DoubleDragon,dataset5,77,undetected,type-unsupported,malicious,undetected,undetected,type-unsupported,undetected,undetected,malicious,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
DoubleDragon.apk,dataset5,77,undetected,type-unsupported,malicious,undetected,undetected,type-unsupported,undetected,undetected,malicious,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,type-unsupported,undetected,undetected,undetected,undetected,undetected,undetected,undetected,undetected
