package_name,version,epoch,repository,languages
argon2,20190702',1,https://github.com/P-H-C/phc-winner-argon2.git,"{'C': 178106, 'Makefile': 6755, 'PowerShell': 2511, 'Swift': 1099, 'Shell': 1097}"
argo-rollouts,1.7.2,0,https://github.com/argoproj/argo-rollouts,"{'Go': 3751272, 'TypeScript': 513668, 'SCSS': 33213, 'Shell': 14632, 'Makefile': 12469, 'JavaScript': 3864, 'Dockerfile': 3639, 'HTML': 479, 'CSS': 22}"
argo-workflows,3.5.11,0,https://github.com/argoproj/argo-workflows,"{'Go': 4232781, 'TypeScript': 649486, 'Nix': 111103, 'Makefile': 40010, 'SCSS': 32066, 'Shell': 16715, 'JavaScript': 4248, 'Dockerfile': 3977, 'Python': 3639, 'Java': 2559, 'HTML': 472}"
arpack,3.9.1,1,https://github.com/opencollab/arpack-ng,"{'Fortran': 5294567, 'C++': 164400, 'Python': 71269, 'M4': 63552, 'CMake': 45956, 'C': 45172, 'Shell': 40509, 'Makefile': 16407}"
asciidoctor,2.0.23,0,https://github.com/asciidoctor/asciidoctor,"{'Ruby': 2117335, 'CSS': 69714, 'Gherkin': 33432, 'JavaScript': 2186, 'Shell': 2167}"
asciidoc,10.2.1,0,https://github.com/asciidoc-py/asciidoc-py,"{'Python': 388634, 'JavaScript': 183539, 'CSS': 48864, 'XSLT': 18022, 'Shell': 13998, 'Makefile': 3890, 'Dockerfile': 1258, 'TeX': 697, 'M4': 152}"
async-profiler,3,0,https://github.com/async-profiler/async-profiler,"{'C++': 599890, 'Java': 190573, 'C': 38952, 'HTML': 16925, 'Makefile': 6199, 'Dockerfile': 2914}"
atlantis,0.30.0,0,https://github.com/runatlantis/atlantis,"{'Go': 2382484, 'CSS': 13865, 'TypeScript': 11848, 'Dockerfile': 9965, 'Shell': 9667, 'HCL': 8732, 'JavaScript': 6138, 'Makefile': 4129, 'Vue': 1771}"
attr,2.5.2,2,https://git.savannah.nongnu.org/git/attr.git,{'Makefile': 675}
atuin,18.3.0,2,https://github.com/atuinsh/atuin,"{'Rust': 686793, 'Shell': 23269, 'Nix': 3749, 'PLpgSQL': 3330, 'Xonsh': 2805, 'Nushell': 2410, 'Dockerfile': 917, 'RenderScript': 1}"
audit,4.0.2,0,https://github.com/linux-audit/audit-userspace,"{'C': 1937425, 'Makefile': 99027, 'Python': 67714, 'C++': 30270, 'Roff': 25542, 'M4': 22693, 'Shell': 6801, 'SWIG': 2116, 'Go': 1908, 'sed': 890}"
authservice,1.0.2,0,https://github.com/istio-ecosystem/authservice,"{'Go': 354885, 'Makefile': 22514, 'Shell': 4947, 'Dockerfile': 1473}"
avahi,0.9_rc1,1,https://github.com/avahi/avahi,"{'C': 1891907, 'C#': 97914, 'M4': 78603, 'Makefile': 76127, 'Python': 34704, 'Shell': 24390, 'C++': 7515, 'XSLT': 6650, 'Perl': 1492, 'Emacs Lisp': 210}"
aws-application-networking-k8s,1.0.7,0,https://github.com/aws/aws-application-networking-k8s,"{'Go': 1162830, 'Shell': 25063, 'Makefile': 6064, 'Smarty': 5890, 'Dockerfile': 932}"
aws-c-auth,0.7.31,0,https://github.com/awslabs/aws-c-auth,"{'C': 1387732, 'CMake': 20201, 'Python': 6454}"
aws-c-cal,0.7.4,1,https://github.com/awslabs/aws-c-cal,"{'C': 662664, 'CMake': 21720, 'Python': 1476}"
aws-c-common,0.9.28,0,https://github.com/awslabs/aws-c-common,"{'C': 2019874, 'Makefile': 179585, 'C++': 168075, 'CMake': 88967, 'Python': 56309, 'Kotlin': 310, 'Shell': 59}"
aws-c-compression,0.2.19,1,https://github.com/awslabs/aws-c-compression,"{'C': 107567, 'CMake': 5601, 'Python': 1476, 'Batchfile': 922, 'Shell': 758}"
aws-c-event-stream,0.4.3,1,https://github.com/awslabs/aws-c-event-stream,"{'C': 456692, 'CMake': 8217, 'Python': 1476, 'Shell': 273}"
aws-checksums,0.1.20,0,https://github.com/awslabs/aws-checksums,"{'C': 278068, 'CMake': 9179, 'Python': 2458}"
aws-c-http,0.8.10,0,https://github.com/awslabs/aws-c-http,"{'C': 2864516, 'CMake': 43547, 'Python': 24424, 'Shell': 727}"
aws-c-io,0.14.18,1,https://github.com/awslabs/aws-c-io,"{'C': 2142630, 'CMake': 25902, 'Python': 5784, 'Shell': 3562, 'Lua': 1945, 'Makefile': 1460, 'Dockerfile': 1261}"
aws-cli-v2,2.18.0,0,https://github.com/aws/aws-cli,"{'Python': 4257702, 'Shell': 1808, 'Batchfile': 1432}"
aws-c-mqtt,0.10.6,0,https://github.com/awslabs/aws-c-mqtt,"{'C': 3085761, 'Python': 104984, 'CMake': 43088}"
aws-crt-cpp,0.28.3,0,https://github.com/awslabs/aws-crt-cpp,"{'C++': 1698300, 'Python': 90536, 'CMake': 33403, 'Shell': 8816, 'C': 1457, 'Batchfile': 468}"
aws-c-s3,0.6.6,0,https://github.com/awslabs/aws-c-s3,"{'C': 2060361, 'Python': 35385, 'CMake': 25212}"
aws-c-sdkutils,0.1.19,1,https://github.com/awslabs/aws-c-sdkutils,"{'C': 358461, 'C++': 11400, 'CMake': 9146, 'Python': 1476}"
aws-ebs-csi-driver,1.35.0,0,https://github.com/kubernetes-sigs/aws-ebs-csi-driver,"{'Go': 927878, 'Shell': 85041, 'Smarty': 19907, 'Makefile': 8556, 'Mustache': 3188, 'Dockerfile': 2341}"
aws-efs-csi-driver,2.0.7,1,https://github.com/kubernetes-sigs/aws-efs-csi-driver,"{'Go': 336179, 'Shell': 27593, 'Python': 7317, 'Makefile': 5080, 'Dockerfile': 4329, 'Mustache': 1737}"
aws-eks-pod-identity-agent,0_git20241006,0,https://github.com/aws/eks-pod-identity-agent,"{'Go': 102534, 'Makefile': 3852, 'Shell': 2148, 'Smarty': 1921, 'Dockerfile': 621}"
aws-flb-cloudwatch,1.9.4,13,https://github.com/aws/amazon-cloudwatch-logs-for-fluent-bit,"{'Go': 95178, 'Makefile': 1660, 'Shell': 1513}"
aws-flb-firehose,1.7.2,13,https://github.com/aws/amazon-kinesis-firehose-for-fluent-bit,"{'Go': 35611, 'Makefile': 1634, 'Shell': 1513}"
aws-flb-kinesis,1.10.2,14,https://github.com/aws/amazon-kinesis-streams-for-fluent-bit,"{'Go': 57601, 'Makefile': 1495}"
aws-for-fluent-bit,2.32.2,1,https://github.com/aws/aws-for-fluent-bit,"{'Shell': 115064, 'PowerShell': 63297, 'C++': 58724, 'Go': 54765, 'Python': 53278, 'Java': 10841, 'Makefile': 9419, 'Dockerfile': 3110, 'C': 2395, 'Batchfile': 437}"
aws-load-balancer-controller,2.9.0,0,https://github.com/kubernetes-sigs/aws-load-balancer-controller,"{'Go': 2883094, 'Shell': 48346, 'Makefile': 6283, 'Mustache': 4775, 'Smarty': 3357, 'Dockerfile': 1427}"
aws-network-policy-agent,1.1.3,0,https://github.com/aws/aws-network-policy-agent,"{'Go': 266508, 'C': 27443, 'Shell': 17732, 'Makefile': 15307, 'Python': 4948, 'Dockerfile': 2365}"
aws-privateca-issuer,1.3.0,0,https://github.com/cert-manager/aws-privateca-issuer,"{'Go': 131351, 'Makefile': 12865, 'Shell': 10340, 'Smarty': 1912, 'Dockerfile': 1504}"
azcopy,10.26.0,1,https://github.com/Azure/azure-storage-azcopy,"{'Go': 3796659, 'Python': 260836, 'CSS': 189334, 'HTML': 22181, 'JavaScript': 9141, 'Shell': 5564, 'PowerShell': 769, 'Dockerfile': 370}"
