package_name,version,epoch,repository
byteman,4.0.23,0,https://github.com/bytemanproject/byteman
bzip2,1.0.8,8,https://sourceware.org/git/bzip2.git
bzip3,1.4.0,0,https://github.com/kspalaiologos/bzip3
ca-certificates,20240705,1,https://gitlab.alpinelinux.org/alpine/ca-certificates
caddy,2.8.4,3,https://github.com/caddyserver/caddy
cadvisor,0.50.0,3,https://github.com/google/cadvisor
calico-3.28,3.28.2,0,https://github.com/projectcalico/calico
capslock,0.2.5,0,https://github.com/google/capslock
c-ares,1.33.1,1,https://github.com/c-ares/c-ares
cargo-auditable,0.6.4,1,https://github.com/rust-secure-code/cargo-auditable
cargo-audit,0.20.1,0,https://github.com/rustsec/rustsec
cargobump,0.0.1,0,https://github.com/chainguard-dev/cargobump.git
cargo-c,0.10.4,0,https://github.com/lu-zero/cargo-c
cassandra-5.0,5.0.1,0,https://github.com/apache/cassandra
cassandra-reaper,3.6.1,0,https://github.com/thelastpickle/cassandra-reaper
cass-config-builder,1.0.10,0,https://github.com/datastax/cass-config-builder
cass-operator,1.22.4,0,https://github.com/k8ssandra/cass-operator.git
Catch2,3.7.1,0,https://github.com/catchorg/Catch2
cbindgen,0.26.0,2,https://github.com/mozilla/cbindgen
ccache,4.10.2,2,https://github.com/ccache/ccache
cedar,4.1.0,0,https://github.com/cedar-policy/cedar
cert-exporter,2.13.0,1,https://github.com/joe-elliott/cert-exporter.git
certificate-transparency,1.2.1,4,https://github.com/google/certificate-transparency-go
cert-manager-1.16,1.16.0,1,https://github.com/cert-manager/cert-manager
cert-manager-cmctl,2.1.1,0,https://github.com/cert-manager/cmctl
cert-manager-webhook-pdns,2.5.1,6,https://github.com/zachomedia/cert-manager-webhook-pdns
cfssl,1.6.5,9,https://github.com/cloudflare/cfssl
chainguard-security-guide,0.1.2,1,https://github.com/chainguard-dev/stigs
chartmuseum,0.16.2,6,https://github.com/helm/chartmuseum
checkov,3.0.34,0,https://github.com/bridgecrewio/checkov
checksec,2.7.1,0,https://github.com/slimm609/checksec.sh
chezmoi,2.52.3,0,https://github.com/twpayne/chezmoi
chromium,129.0.6668.70,0,https://chromium.googlesource.com/chromium/src.git
